M,N,p,k,mu,f,speed,demand,facility,ti_c,model,ti_s,status,ObjValue,Gap
50,50,16,16,72,0.006,40,Goldberg_Test_50_50_demand.ins,Goldberg_Test_50_50_facility.ins,0,Goldberg-model_50_50_16.lp,10.9574,Optimal,13587.9,0
50,50,17,17,72,0.006,40,Goldberg_Test_50_50_demand.ins,Goldberg_Test_50_50_facility.ins,0,Goldberg-model_50_50_17.lp,21.2142,Optimal,13072.3,-1.39148e-16
50,50,18,18,72,0.006,40,Goldberg_Test_50_50_demand.ins,Goldberg_Test_50_50_facility.ins,0,Goldberg-model_50_50_18.lp,22.4688,Optimal,12598.5,-2.88762e-16
50,50,19,19,72,0.006,40,Goldberg_Test_50_50_demand.ins,Goldberg_Test_50_50_facility.ins,0,Goldberg-model_50_50_19.lp,24.5782,Optimal,12151.6,0
50,50,20,20,72,0.006,40,Goldberg_Test_50_50_demand.ins,Goldberg_Test_50_50_facility.ins,0,Goldberg-model_50_50_20.lp,25.6601,Optimal,11776.9,0
50,50,21,21,72,0.006,40,Goldberg_Test_50_50_demand.ins,Goldberg_Test_50_50_facility.ins,0,Goldberg-model_50_50_21.lp,26.2279,Optimal,11432.2,0
50,50,22,22,72,0.006,40,Goldberg_Test_50_50_demand.ins,Goldberg_Test_50_50_facility.ins,0,Goldberg-model_50_50_22.lp,27.7622,Optimal,11139.3,0
50,50,23,23,72,0.006,40,Goldberg_Test_50_50_demand.ins,Goldberg_Test_50_50_facility.ins,0,Goldberg-model_50_50_23.lp,25.7437,Optimal,10859.3,0
50,50,24,24,72,0.006,40,Goldberg_Test_50_50_demand.ins,Goldberg_Test_50_50_facility.ins,0,Goldberg-model_50_50_24.lp,31.28,Optimal,10605.5,-1.71513e-16
50,50,25,25,72,0.006,40,Goldberg_Test_50_50_demand.ins,Goldberg_Test_50_50_facility.ins,0,Goldberg-model_50_50_25.lp,32.1868,Optimal,10442.2,-3.48392e-16
100,20,5,5,72,0.006,40,Goldberg_Test_100_20_demand.ins,Goldberg_Test_100_20_facility.ins,0,Goldberg-model_100_20_5.lp,1.49707,Optimal,56421.9,0
100,20,6,6,72,0.006,40,Goldberg_Test_100_20_demand.ins,Goldberg_Test_100_20_facility.ins,0,Goldberg-model_100_20_6.lp,2.04459,Optimal,101453,0
100,20,7,7,72,0.006,40,Goldberg_Test_100_20_demand.ins,Goldberg_Test_100_20_facility.ins,0,Goldberg-model_100_20_7.lp,2.54096,Optimal,101881,0
100,20,8,8,72,0.006,40,Goldberg_Test_100_20_demand.ins,Goldberg_Test_100_20_facility.ins,0,Goldberg-model_100_20_8.lp,2.73405,Optimal,91019.4,0
100,20,9,9,72,0.006,40,Goldberg_Test_100_20_demand.ins,Goldberg_Test_100_20_facility.ins,0,Goldberg-model_100_20_9.lp,3.03857,Optimal,79512.4,0
100,20,10,10,72,0.006,40,Goldberg_Test_100_20_demand.ins,Goldberg_Test_100_20_facility.ins,0,Goldberg-model_100_20_10.lp,2.99115,Optimal,70249.1,0
